Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1001,1,0,0,1,0,5849,0,150,360,1,1,1
1002,1,1,1,1,0,4583,1508,128,360,1,0,0
1003,1,1,0,1,1,3000,0,66,360,1,0,1
1004,1,1,0,0,0,2583,2358,120,360,1,1,0
1005,1,1,0,1,0,6000,0,141,360,1,0,1
1006,1,0,2,1,1,5417,4196,267,360,1,1,1
1007,1,1,0,0,0,2333,1516,95,360,1,0,1
1008,1,0,0,1,0,3036,2504,158,360,0,1,0
1009,1,1,2,1,0,4006,1526,168,360,1,1,1
1010,1,0,1,1,0,12841,10968,349,360,1,1,0
1011,1,1,2,1,0,3200,700,70,360,1,1,1
1012,1,0,2,1,0,2500,1840,109,360,1,0,1
1013,1,1,2,1,0,3073,8106,200,360,1,0,1
1014,1,0,0,1,0,1853,2840,114,360,1,0,0
1015,1,1,2,1,0,1299,1086,17,120,1,1,1
1016,1,0,0,1,0,4950,0,125,360,1,1,1
1017,1,1,1,0,0,3596,0,100,240,0,0,1
1018,0,0,0,1,0,3510,0,76,360,0,0,0
1019,1,1,0,0,0,4887,0,133,360,1,1,0
1020,1,0,0,1,0,2600,3500,115,360,1,0,1
1021,1,1,0,1,0,7660,0,104,360,0,1,0
1022,1,0,1,1,0,5955,5625,315,360,1,0,1
1023,1,1,0,0,0,2600,1911,116,360,0,1,0
1024,1,0,2,0,0,3365,1917,112,360,0,1,0
1025,1,1,1,0,0,3717,2925,151,360,1,0,0
1026,1,0,0,1,1,9560,0,191,360,1,1,0
1027,1,1,0,0,0,2799,2253,122,360,1,0,1
1028,1,0,2,0,0,4226,1040,110,360,1,1,1
1029,1,1,0,1,0,1442,0,35,360,1,0,0
1030,1,1,2,1,1,3750,2083,120,360,1,1,1
1031,1,1,1,1,1,4166,3369,201,360,0,0,0
1032,1,1,0,1,0,3167,0,74,360,1,1,1
1033,1,0,1,1,1,4692,0,106,360,1,0,0
1034,1,1,0,1,0,3500,1667,114,360,1,1,0
1035,1,1,1,1,1,12500,3000,320,360,1,0,1
1036,0,1,0,1,1,2275,2067,202,360,1,1,0
1037,1,0,0,1,0,1828,1330,100,360,0,0,1
1038,1,0,0,1,0,3667,1459,144,360,1,1,1
1039,0,1,0,1,0,4166,7210,184,360,1,1,1
1040,1,0,0,0,0,3748,1668,110,360,1,1,0
1041,1,1,0,1,0,3600,0,80,360,1,1,1
1042,1,0,0,1,0,1800,1213,47,360,1,1,1
1043,1,1,0,1,0,2400,0,75,360,0,1,1
1044,1,0,0,1,0,3941,2336,134,360,1,1,1
1045,0,1,0,1,0,4695,0,96,360,1,1,1
1046,1,0,0,1,0,3410,0,88,360,1,0,1
1047,0,1,1,0,1,5649,0,44,360,1,0,1
1048,1,0,0,0,1,5821,0,144,360,1,0,0
1049,1,0,0,0,0,2645,3440,120,360,0,0,1
1050,0,1,0,1,1,4000,2275,144,360,1,0,1
1051,0,1,0,1,1,1928,1644,100,360,1,0,1
1052,0,1,0,0,0,3086,0,120,360,1,0,0
1053,0,1,0,1,1,4230,0,112,360,1,0,0
1054,0,0,2,1,0,4616,0,134,360,1,1,0
1055,0,0,1,1,1,11500,0,286,360,0,1,1
1056,0,1,2,1,1,2708,1167,97,360,1,1,1
1057,0,0,0,1,1,2132,1591,96,360,1,1,0
1058,0,1,0,1,0,3366,2200,135,360,1,1,0
1059,0,0,1,1,0,8080,2250,180,360,1,0,1
1060,1,1,2,1,0,3357,2859,144,360,1,0,1
1061,1,0,0,0,0,2500,3796,120,360,1,0,1
1062,1,1,2,1,0,3029,0,99,360,1,1,1
1063,1,0,0,1,1,2609,3449,165,180,0,0,1
1064,1,1,1,1,0,4945,0,97,360,0,1,0
1065,1,0,0,0,0,4166,0,116,360,0,0,0
1066,1,1,0,1,0,5726,4595,258,360,1,1,0
1067,1,0,0,1,0,3200,2254,126,180,0,0,0
1068,1,1,1,1,0,10750,0,312,360,1,1,1
1069,1,0,2,1,1,7100,0,125,60,1,0,1
1070,1,1,0,0,0,4300,0,136,360,0,1,1
1071,1,0,0,1,0,3208,3066,172,360,1,0,1
1072,1,1,2,0,1,1875,1875,97,360,1,1,1
1073,1,0,0,1,0,3500,0,81,300,1,0,0
1074,1,1,2,0,0,4755,0,95,360,0,1,1
1075,1,0,2,1,0,5266,1774,187,360,1,0,0
1076,1,1,2,1,0,3750,0,113,480,1,1,0
1077,1,0,0,1,0,3750,4750,176,360,1,1,0
1078,1,1,1,1,0,1000,3022,110,360,1,1,0
1079,1,0,2,1,0,3167,4000,180,300,0,1,1
1080,1,1,1,0,0,3333,2166,130,360,0,1,1
1081,1,0,0,1,0,3846,0,111,360,1,1,1
1082,1,1,1,1,1,2395,0,125,360,1,1,0
1083,0,0,2,1,0,1378,1881,167,360,1,1,0
1084,1,1,0,1,0,6000,2250,265,360,1,1,1
1085,1,0,1,1,0,3988,0,50,240,1,1,1
1086,1,1,0,1,0,2366,2531,136,360,1,1,1
1087,1,0,2,0,0,3333,2000,99,360,0,1,1
1088,1,1,0,1,0,2500,2118,104,360,1,0,1
1089,1,0,0,1,0,8566,0,210,360,1,1,1
1090,1,1,0,1,0,5695,4167,175,360,1,0,1
1091,1,0,0,1,0,2958,2900,131,360,1,1,1
1092,1,1,2,1,0,6250,5654,188,180,1,1,1
1093,1,0,2,1,0,3273,1820,81,360,1,1,1
1094,1,1,0,1,0,4133,0,122,360,1,1,1
1095,1,1,0,0,0,3620,0,25,120,1,1,0
1096,1,1,0,1,0,6782,0,123,360,1,0,1
1097,0,1,0,0,0,2484,2302,137,360,1,0,1
1098,1,1,0,1,0,1977,997,50,360,1,0,1
1099,1,0,0,0,0,4188,0,115,180,1,0,1
1100,1,0,0,1,0,1759,3541,131,360,1,1,1
1101,1,0,2,1,0,4288,3263,133,180,1,1,1
1102,1,1,0,0,0,4843,3806,151,360,1,1,1
1103,1,1,0,1,0,13650,0,161,360,1,0,0
1104,1,1,0,0,0,4652,3583,120,360,1,1,1
1105,1,1,1,1,0,3816,754,160,360,1,0,1
1106,1,1,1,1,0,3052,1030,100,360,1,1,1
1107,1,1,2,1,0,11417,1126,225,360,1,0,0
1108,1,1,0,0,0,7333,0,120,360,1,1,0
1109,1,1,2,1,0,3800,3600,216,360,0,0,1
1110,1,1,1,0,0,2071,754,94,480,1,1,1
1111,1,1,0,1,0,5316,0,136,360,1,0,1
1112,1,1,0,1,0,2929,2333,139,360,1,1,0
1113,1,1,0,0,0,3572,4114,152,360,0,0,1
1114,1,1,1,1,0,7451,0,150,360,1,1,1
1115,1,1,0,1,0,5050,0,118,360,1,0,1
1116,1,0,1,1,0,14583,0,185,180,1,1,1
1117,1,0,0,1,0,3167,2283,154,360,1,1,1
1118,1,0,1,1,0,2214,1398,85,360,0,1,0
1119,1,0,0,1,0,5568,2142,175,360,1,0,1
1120,1,0,0,1,0,10408,0,259,360,1,1,1
1121,1,0,1,1,0,5667,2667,180,360,1,0,1
1122,1,1,0,1,0,4166,0,44,360,1,1,1
11,1,1,0,1,0,2137,8980,137,360,0,0,1
1132,1,0,2,1,0,2957,0,81,360,1,1,1
1133,1,1,0,1,0,4300,2014,194,360,1,1,1
1134,0,0,0,0,0,3692,0,93,360,0,0,1
1135,0,1,2,1,0,23803,0,370,360,1,0,1
1136,0,0,0,1,0,3865,1640,170,360,1,1,0
1137,0,1,1,0,0,10513,3850,160,180,0,1,0
1138,0,0,0,1,1,6080,2569,182,360,1,1,1
1139,0,1,0,1,1,20166,0,650,480,1,1,1
1140,0,0,0,1,0,2014,1929,74,360,1,1,1
1141,0,1,0,1,0,2718,0,70,360,1,1,1
1142,0,0,0,1,1,3459,0,25,120,1,1,1
1143,0,1,0,0,0,4895,0,102,360,1,1,0
1145,0,0,1,1,0,4000,7750,290,360,1,1,0
1146,1,1,0,1,0,4583,0,84,360,1,1,1
1147,0,0,2,0,1,3316,3500,88,360,1,0,0
1148,1,1,0,1,0,14999,0,242,360,0,1,0
1149,1,0,2,0,0,4200,1430,129,360,1,1,0
1150,0,1,2,1,0,5042,2083,185,360,1,0,1
1151,1,1,0,0,0,5417,0,168,360,1,0,1
1152,0,0,0,1,1,6950,0,175,180,1,0,1
